ts,base_url,threads,total_attempt,total_sent,total_acked,total_failed,duration_s,send_tps,ack_tps,p50_ms,p95_ms,p99_ms,p999_ms,mean_ms,avg_inflight
2025-10-10T20:51:08.593064Z,ws://localhost:8080/chat,4,2000,2000,2000,0,2.26,886.5,886.5,42.21,63.24,66.36,67.04,41.23,0.00
2025-10-10T20:54:00.458565Z,ws://localhost:8080/chat,4,2000,2000,2000,0,2.22,901.4,901.4,33.39,55.28,57.18,58.21,32.60,0.00
2025-10-10T20:54:15.019418Z,ws://localhost:8080/chat,16,20000,20000,20000,0,2.26,8853.3,8853.3,160.63,248.90,254.62,258.32,155.60,0.00
2025-10-10T21:06:37.647560Z,ws://3.80.67.71:8080/chat,32,32000,32000,32000,0,2.44,13129.7,13129.7,705.67,1347.11,1443.73,1511.36,738.24,9157.00
2025-10-10T21:07:05.874144Z,ws://3.80.67.71:8080/chat,64,500000,500000,282671,0,15.40,32471.5,18321.4,6407.48,12349.94,13185.20,14348.79,6558.48,316480.40
2025-10-10T21:09:26.307924Z,ws://3.80.67.71:8080/chat,64,500000,500000,309230,0,15.92,31398.9,19375.7,6578.07,13027.12,14031.27,14777.97,6631.40,301078.20
2025-10-10T23:15:20.500869Z,ws://localhost:8080/chat,4,2000,2000,2000,0,2.19,912.7,912.7,96.86,162.94,170.71,172.36,93.27,0.00
2025-10-11T00:03:18.823833Z,ws://localhost:8080/chat,4,2000,2000,2000,0,2.25,890.6,890.6,59.26,85.28,88.10,88.71,55.81,0.00
2025-10-31T17:20:17.282540Z,ws://localhost:8080/chat,64,500000,500000,0,0,16.33,30616.1,0.0,0.00,0.00,0.00,0.00,0.00,446221.00
2025-11-20T17:28:02.334250Z,ws://localhost:8080/chat,4,10000,10000,0,0,12.30,813.1,0.0,0.00,0.00,0.00,0.00,0.00,10000.00
2025-11-21T09:47:17.481449Z,ws://localhost:8080/chat,4,10000,10000,0,0,12.47,802.0,0.0,0.00,0.00,0.00,0.00,0.00,10000.00
2025-11-21T10:15:40.837181Z,ws://localhost:8080/chat,4,10000,0,0,0,15.20,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
2025-11-21T10:17:11.910710Z,ws://localhost:8080/chat,4,10000,10000,0,0,12.34,810.5,0.0,0.00,0.00,0.00,0.00,0.00,10000.00
2025-11-21T10:36:12.307707Z,ws://localhost:8080/chat,4,10000,10000,8834,0,12.33,810.9,716.4,0.00,0.00,0.00,0.00,0.00,10000.00
2025-11-21T10:38:56.209751Z,ws://localhost:8080/chat,64,500000,500000,17246,0,16.19,30881.4,1065.2,0.00,0.00,0.00,0.00,0.00,456582.06
2025-11-21T10:39:36.779830Z,ws://localhost:8080/chat,64,500000,500000,20901,0,16.60,30118.7,1259.0,0.00,0.00,0.00,0.00,0.00,454748.88
2025-11-21T10:40:53.765838Z,ws://localhost:8080/chat,16,500000,500000,7581,0,17.36,28799.2,436.7,0.00,0.00,0.00,0.00,0.00,429519.65
2025-11-21T10:42:59.619293Z,ws://localhost:8080/chat,8,100000,100000,10771,0,13.02,7679.9,827.2,0.00,0.00,0.00,0.00,0.00,99828.46
2025-11-21T10:44:19.859438Z,ws://localhost:8080/chat,8,100000,100000,12368,0,13.19,7579.2,937.4,0.00,0.00,0.00,0.00,0.00,98521.00
2025-11-21T10:46:24.244657Z,ws://localhost:8080/chat,4,20000,20000,16753,0,12.27,1629.9,1365.2,0.00,0.00,0.00,0.00,0.00,20000.00
2025-11-21T21:52:20.166918Z,ws://localhost:8080/chat,16,500000,500000,8639,0,15.74,31773.5,549.0,0.00,0.00,0.00,0.00,0.00,438156.33
2025-11-21T21:55:37.216611Z,ws://localhost:8080/chat,16,500000,500000,6448,0,15.83,31579.9,407.3,0.00,0.00,0.00,0.00,0.00,453253.53
2025-11-21T22:44:06.981625Z,ws://localhost:8080/chat,16,500000,500000,10437,0,15.79,31666.7,661.0,0.00,0.00,0.00,0.00,0.00,449017.47
